billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Doechii,Doechii,4E2rKHVDssGJm2SCDOMMJB,,NA,NO_GENRES - artist has no genre tags,1,2023,What It Is (Block Boy)
Don Toliver,Don Toliver,4Gso3d4CscCijv0lmajZWs,,NA,NO_GENRES - artist has no genre tags,1,2021,Lemonade
Eden's Crush,Eden's Crush,48VMsTwTzdzKc1aKcMnIbH,,NA,NO_GENRES - artist has no genre tags,1,2001,Get Over Yourself
Edmee,Edmee,2Bn9Kf2NC3mJfExuN9DMdE,,NA,NO_GENRES - artist has no genre tags,1,2005,Listen to Your Heart
Elliott Yamin,Elliott Yamin,4am1I89OWXUzFh4ctRLkdd,,NA,NO_GENRES - artist has no genre tags,1,2007,Wait for You
Em Beihold,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,,NA,NO_GENRES - artist has no genre tags,1,2022,Numb Little Bug
Encanto,Urbandawn,4Kjl91bg9I6TuhrEC0NQgX,"drum and bass, liquid funk","['drum and bass', 'liquid funk']",NAME_MISMATCH - verify correct artist,1,2022,We Don't Talk About Bruno
Eric Nally,Eric Nally,3NoeRIxHApi6qe4yan2Vnn,,NA,NO_GENRES - artist has no genre tags,1,2015,Downtown
Eric Turner,Eric Turner,79DOwuMzV2h4es3em0t002,,NA,NO_GENRES - artist has no genre tags,1,2011,Written in the Stars
Ernest,Ernest Ranglin,6RTCb5pWKinqlUyG2qacit,"rocksteady, dub, reggae, roots reggae","['rocksteady', 'dub', 'reggae', 'roots reggae']",NAME_MISMATCH - verify correct artist,1,2022,Flower Shops
Eslabon Armado,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos","['corridos tumbados', 'sad sierreño', 'corrido', 'sierreño', 'música mexicana', 'corridos bélicos']",OK,1,2023,Ella Baila Sola
Evan and Jaron,Evan And Jaron,1xeZcY93inQY14LWwnxd5G,,NA,NAME_MISMATCH - verify correct artist,1,2001,Crazy for This Girl
Fifty Fifty,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,k-pop,['k-pop'],NAME_MISMATCH - verify correct artist,1,2023,Cupid
Foster the People,Foster The People,7gP3bB2nilZXLfPHJhMdvc,,NA,NAME_MISMATCH - verify correct artist,1,2011,Pumped Up Kicks
Freekey Zekey,Freekey Zeekey,6EjZmcZTs67OVOG511gGn3,,NA,NAME_MISMATCH - verify correct artist,1,2002,Hey Ma
Fuerza Regida,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, sad sierreño, electro corridos","['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'sierreño', 'banda', 'sad sierreño', 'electro corridos']",OK,1,2023,Bebe Dame
