billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
73,Forgot About Dre,Eminem,2000,detroit hip hop,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",70.0,Collaboration
74,That's the Way,Jo Dee Messina,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road']",33.0,Solo
74,That's the Way,Jo Dee Messina,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road']",14.0,Solo
74,That's the Way,Jo Dee Messina,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road']",4.0,Solo
75,Swear It Again,Westlife,2000,boy band,"['boy band', 'dance pop', 'europop']",31.0,Solo
76,The Next Episode,Dr. Dre,2000,g funk,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",72.0,Collaboration
76,The Next Episode,Snoop Dogg,2000,g funk,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",72.0,Collaboration
77,From the Bottom of My Broken Heart,Britney Spears,2000,dance pop,"['dance pop', 'pop', 'post-teen pop']",50.0,Solo
78,Crash and Burn,Savage Garden,2000,australian pop,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']",43.0,Solo
78,Crash and Burn,Savage Garden,2000,australian pop,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']",50.0,Solo
79,Yes!,Chad Brock,2000,country,"['country', 'country road']",43.0,Solo
80,The Best Day,George Strait,2000,contemporary country,"['contemporary country', 'country', 'country road']",42.0,Solo
81,Where I Wanna Be,Donell Jones,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",58.0,Solo
82,How Do You Like Me Now?!,Toby Keith,2000,contemporary country,"['contemporary country', 'country', 'country road']",55.0,Solo
83,My Best Friend,Tim McGraw,2000,contemporary country,"['contemporary country', 'country', 'country road']",54.0,Solo
84,Broadway,Goo Goo Dolls,2000,,,45.0,Solo
85,What'chu Like,Da Brat,2000,chicago rap,"['chicago rap', 'hip hop', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",,
85,What'chu Like,Tyrese,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",,
86,Don't Think I'm Not,Kandi,2000,hip pop,"['hip pop', 'r&b', 'urban contemporary']",48.0,Solo
87,I Hope You Dance,Lee Ann Womack,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road']",47.0,Solo
87,I Hope You Dance,Sons of the Desert,2000,,,47.0,Solo
88,Better Off Alone,Alice Deejay,2000,eurodance,"['eurodance', 'europop']",,
89,Dance with Me,Debelah Morgan,2000,-,[],58.0,Solo
89,Dance with Me,Debelah Morgan,2000,-,[],38.0,Solo
89,Dance with Me,Debelah Morgan,2000,-,[],23.0,Collaboration
89,Dance with Me,Debelah Morgan,2000,-,[],56.0,Solo
89,Dance with Me,Debelah Morgan,2000,-,[],1.0,Solo
90,What About Now,Lonestar,2000,contemporary country,"['contemporary country', 'country', 'country road']",51.0,Solo
90,What About Now,Lonestar,2000,contemporary country,"['contemporary country', 'country', 'country road']",43.0,Solo
91,I Like It,Sammie,2000,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",41.0,Collaboration
91,I Like It,Sammie,2000,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",0.0,Solo
