song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
2812,Taki Taki,2019,57,DJ Snake,1,primary,526.0,edm,"['edm', 'electronic trap']",artist_name
2813,Taki Taki,2019,57,Ozuna,1,primary,526.0,reggaeton,"['reggaeton', 'trap latino']",artist_name
2814,Taki Taki,2019,57,Selena Gomez,1,primary,526.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2815,Talk,2019,8,Khalid,1,primary,306.0,pop,['pop'],artist_name
2816,Talk Dirty,2014,6,2 Chainz,1,primary,399.0,atl hip hop,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2817,Talk Dirty,2014,6,Jason Derulo,1,primary,399.0,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",artist_name
2818,Talk You Out of It,2019,94,Florida Georgia Line,1,primary,394.0,contemporary country,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",artist_name
2819,Talking Body,2015,37,Tove Lo,1,primary,471.0,dance pop,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'tropical house']",artist_name
2820,Taste,2018,28,Offset,1,primary,690.0,atl hip hop,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2821,Taste,2018,28,Tyga,1,primary,690.0,pop,"['pop', 'pop rap', 'rap', 'trap music']",artist_name
2822,Tattoo,2008,30,Jordin Sparks,1,primary,505.0,dance pop,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'uk pop', 'urban contemporary']",artist_name
2823,Te Boté,2018,81,Bad Bunny,1,primary,1142.0,reggaeton,"['reggaeton', 'trap latino']",artist_name
2824,Te Boté,2018,81,Darell,1,primary,573.0,latin,,lyrics_0.93
2825,Te Boté,2018,81,Nicky Jam,1,primary,1032.0,latin,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",artist_name
2826,Te Boté,2018,81,Ozuna,1,primary,1032.0,reggaeton,"['reggaeton', 'trap latino']",artist_name
2827,Teach Me How to Dougie,2010,98,Cali Swag District,1,primary,834.0,pop rap,['pop rap'],artist_name
2828,Team,2014,18,Lorde,1,primary,396.0,art pop,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'uk pop']",artist_name
2829,Teardrops on My Guitar,2007,89,Taylor Swift,1,primary,321.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2830,Teardrops on My Guitar,2008,48,Taylor Swift,1,primary,321.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2831,Teenage Dream,2010,17,Katy Perry,1,primary,435.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2832,Teenage Dream,2011,75,Katy Perry,1,primary,435.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2833,Telepatía,2021,49,Kali Uchis,1,primary,250.0,colombian pop,"['colombian pop', 'pop']",artist_name
2834,Telephone,2010,16,Beyoncé,1,primary,395.0,dance pop,"['dance pop', 'pop', 'r&b']",artist_name
2835,Telephone,2010,16,Lady Gaga,1,primary,766.0,dance pop,"['dance pop', 'pop']",artist_name
2836,Temperature,2006,2,Sean Paul,1,primary,715.0,-,[],artist_name
2837,Tennessee Orange,2023,67,Megan Moroney,1,primary,369.0,,,artist_name
2838,Tequila,2018,32,Dan + Shay,1,primary,342.0,contemporary country,['contemporary country'],artist_name
2839,Tequila,2019,91,Dan + Shay,1,primary,342.0,contemporary country,['contemporary country'],artist_name
2840,Thank God,2023,23,Kane Brown,1,primary,333.0,contemporary country,"['contemporary country', 'country road']",artist_name
2841,Thank God,2023,23,Katelyn Brown,1,primary,333.0,contemporary country,,lyrics_1.00
2842,Thank God I Found You,2000,45,98 Degrees,1,primary,327.0,dance pop,,lyrics_1.00
2843,Thank God I Found You,2000,45,Joe,1,primary,327.0,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",artist_name
2844,Thank God I Found You,2000,45,Mariah Carey,1,primary,327.0,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",artist_name
2845,"Thank U, Next",2019,12,Ariana Grande,1,primary,496.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2846,Thank You,2001,8,Dido,1,primary,261.0,dance pop,"['dance pop', 'new wave pop', 'pop rock']",artist_name
2847,That's My Kind of Night,2013,78,Luke Bryan,1,primary,401.0,contemporary country,"['contemporary country', 'country', 'country road']",artist_name
2848,That's That,2007,99,R. Kelly,1,primary,818.0,-,[],artist_name
2849,That's That,2007,99,Snoop Dogg,1,primary,758.0,g funk,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",artist_name
2850,That's What I Like,2017,3,Bruno Mars,1,primary,581.0,pop,"['pop', 'post-teen pop']",artist_name
2851,That's the Way,2000,74,Jo Dee Messina,1,primary,421.0,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road']",artist_name
2852,That's the Way It Is,2000,28,Celine Dion,1,primary,393.0,,,artist_name
2853,Thats What I Want,2022,14,Lil Nas X,1,primary,358.0,country rap,['country rap'],artist_name
