from,to,weight,year
acoustic blues,chicago blues,0,2011
acoustic blues,chicago blues,0,2012
acoustic blues,chicago blues,0,2013
acoustic blues,chicago blues,0,2014
acoustic blues,chicago blues,0,2015
acoustic blues,chicago blues,0,2016
acoustic blues,chicago blues,0,2017
acoustic blues,chicago blues,0,2018
acoustic blues,chicago blues,0,2019
acoustic blues,chicago blues,0,2020
acoustic blues,chicago blues,0,2021
acoustic blues,chicago blues,0,2022
acoustic blues,chicago blues,0,2023
acoustic blues,classic rock,0,2000
acoustic blues,classic rock,0,2001
acoustic blues,classic rock,0,2002
acoustic blues,classic rock,0,2003
acoustic blues,classic rock,0,2004
acoustic blues,classic rock,0,2005
acoustic blues,classic rock,0,2006
acoustic blues,classic rock,0,2007
acoustic blues,classic rock,0,2008
acoustic blues,classic rock,0,2009
acoustic blues,classic rock,0,2010
acoustic blues,classic rock,0,2011
acoustic blues,classic rock,0,2012
acoustic blues,classic rock,0,2013
acoustic blues,classic rock,0,2014
acoustic blues,classic rock,0,2015
acoustic blues,classic rock,0,2016
acoustic blues,classic rock,0,2017
acoustic blues,classic rock,0,2018
acoustic blues,classic rock,0,2019
acoustic blues,classic rock,0,2020
acoustic blues,classic rock,0,2021
acoustic blues,classic rock,0,2022
acoustic blues,classic rock,0,2023
acoustic blues,country blues,0,2000
acoustic blues,country blues,0,2001
acoustic blues,country blues,0,2002
acoustic blues,country blues,0,2003
acoustic blues,country blues,0,2004
acoustic blues,country blues,0,2005
acoustic blues,country blues,0,2006
acoustic blues,country blues,0,2007
acoustic blues,country blues,0,2008
acoustic blues,country blues,0,2009
acoustic blues,country blues,0,2010
acoustic blues,country blues,0,2011
acoustic blues,country blues,0,2012
acoustic blues,country blues,0,2013
acoustic blues,country blues,0,2014
acoustic blues,country blues,0,2015
acoustic blues,country blues,0,2016
acoustic blues,country blues,0,2017
acoustic blues,country blues,0,2018
acoustic blues,country blues,0,2019
acoustic blues,country blues,0,2020
acoustic blues,country blues,0,2021
acoustic blues,country blues,0,2022
acoustic blues,country blues,0,2023
acoustic blues,delta blues,0,2000
acoustic blues,delta blues,0,2001
acoustic blues,delta blues,0,2002
acoustic blues,delta blues,0,2003
acoustic blues,delta blues,0,2004
acoustic blues,delta blues,0,2005
acoustic blues,delta blues,0,2006
acoustic blues,delta blues,0,2007
acoustic blues,delta blues,0,2008
acoustic blues,delta blues,0,2009
acoustic blues,delta blues,0,2010
acoustic blues,delta blues,0,2011
acoustic blues,delta blues,0,2012
acoustic blues,delta blues,0,2013
acoustic blues,delta blues,0,2014
acoustic blues,delta blues,0,2015
acoustic blues,delta blues,0,2016
acoustic blues,delta blues,0,2017
acoustic blues,delta blues,0,2018
acoustic blues,delta blues,0,2019
acoustic blues,delta blues,0,2020
acoustic blues,delta blues,0,2021
acoustic blues,delta blues,0,2022
acoustic blues,delta blues,0,2023
acoustic blues,electric blues,0,2000
acoustic blues,electric blues,0,2001
acoustic blues,electric blues,0,2002
acoustic blues,electric blues,0,2003
